"id","site","gender","age_months_t1","age_group_t1","age_months_t2","age_group_t2","cpa_1_t1","cpa_2_t1","cpa_3_rs_t1","cpa_4_t1","cpa_5_rs_t1","cpa_6_t1","cpa_7_t1","cpa_8_t1","cpa_9_t1","cpa_10_t1","cpa_11_rs_t1","cpa_12_t1","cpa_1_v2_t2","cpa_2_t2","cpa_3_rs_t2","cpa_4_t2","cpa_5_v2_t2","cpa_6_t2","cpa_7_t2","cpa_8_t2","cpa_9_t2","cpa_10_t2","cpa_11_rs_t2","cpa_12_t2","language"
"CA_pr1_157_7_b",1,0,87,"6",100,"7",3,2,2,3,3,2,2,2,3,2,3,1,3,3,2,2,3,3,2,3,3,2,3,1,"1"
"CA_pr1_158_4_g",1,1,56,"5",NA,NA,4,4,2,4,4,2,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_159_6_b",1,0,76,"6",NA,NA,4,3,2,4,4,3,4,4,4,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_160_6_b",1,0,73,"6",88,"7",4,2,1,2,4,2,4,3,4,2,3,NA,3,3,3,4,2,1,4,4,4,4,4,3,"1"
"CA_pr1_163_5_g",1,1,60,"5",74,"6",4,4,2,4,4,2,4,4,4,4,4,4,4,2,3,4,2,3,3,4,3,4,2,2,"1"
"CA_pr1_164_4_g",1,1,55,"5",69,"6",2,NA,NA,3,2,2,1,1,1,NA,NA,NA,2,2,2,3,3,2,1,NA,1,3,2,2,"1"
"CA_pr1_165_5_g",1,1,61,"5",75,"6",4,4,3,4,4,3,1,4,4,4,4,4,2,2,4,4,4,2,3,4,4,4,4,3,"1"
"CA_pr1_168_3_b",1,0,47,"4",61,"5",2,1,2,2,2,1,1,1,2,1,3,2,2,1,2,1,2,3,2,1,3,1,1,1,"1"
"CA_pr1_169_6_b",1,0,81,"6",95,"7",4,4,3,3,1,2,1,4,3,3,2,2,4,3,3,4,3,4,4,4,4,3,3,3,"1"
"CA_pr1_171_5_b",1,0,68,"6",82,"7",3,2,2,3,4,1,3,4,4,2,3,1,1,1,3,2,3,2,2,2,4,1,4,2,"1"
"CA_pr1_172_4_b",1,0,49,"4",61,"5",4,NA,2,2,4,4,2,4,2,2,2,2,3,NA,1,3,4,2,2,NA,2,3,4,3,"1"
"CA_pr1_173_6_g",1,1,72,"6",84,"7",4,1,2,2,3,2,2,3,3,2,3,1,3,2,2,2,2,2,3,4,4,2,3,1,"1"
"CA_pr1_175_5_b",1,0,60,"5",74,"6",4,3,3,3,3,2,2,3,3,2,3,1,4,3,3,3,3,4,4,4,4,3,3,2,"1"
"CA_pr1_176_5_b",1,0,60,"5",74,"6",3,2,1,2,3,1,1,2,3,2,3,2,2,3,1,3,2,2,3,3,3,3,2,2,"1"
"CA_pr1_177_3_g",1,1,44,"4",56,"5",4,4,2,4,2,3,2,4,2,2,3,3,3,4,2,4,2,2,2,3,2,2,3,3,"1"
"CA_pr1_178_5_g",1,1,71,"6",85,"7",4,4,2,4,3,3,3,4,4,3,2,3,2,2,4,3,3,1,3,2,3,2,3,3,"1"
"CA_pr1_179_7_b",1,0,87,"6",99,"7",4,4,2,4,4,2,3,4,3,3,4,NA,3,3,3,3,2,2,2,3,4,2,4,1,"1"
"CA_pr1_180_4_b",1,0,54,"5",66,"6",3,2,3,3,3,3,2,1,3,2,2,1,3,2,3,2,2,3,1,3,4,1,1,1,"1"
"CA_pr1_181_5_g",1,1,64,"5",NA,NA,2,1,3,4,NA,3,2,3,2,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_182_6_b",1,0,74,"6",87,"7",4,3,3,3,3,4,2,4,3,3,3,3,4,3,2,2,2,2,1,4,4,2,1,3,"1"
"CA_pr1_183_3_b",1,0,47,"4",60,"5",3,3,3,3,4,4,2,4,4,3,3,2,4,2,3,2,3,4,3,3,3,2,3,1,"1"
