"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"109","CPA_12_t2","|","t1","a12",-0.709801330052156,0.103730996090746,-6.84271198390123,0.0000000000077706729939564,-0.913110346470483,-0.50649231363383,-0.709801330052156,-0.458485202111401
"110","CPA_12_t2","|","t2","",0.690282077413331,0.334886878566638,2.06123954562757,0.0392801925043742,0.0339158565276826,1.34664829829898,0.690282077413331,0.445877042458449
"111","CPA_12_t2","|","t3","",2.36304623869021,0.767291757327577,3.07972321626461,0.00207193045957599,0.859182028693711,3.8669104486867,2.36304623869021,1.52637320680261
"112","HE_T1","~~","SH_T1","",0.326377482115896,0.0695608144010024,4.69197327441286,0.0000027058248088796,0.190040791154656,0.462714173077136,0.326377482115896,0.326377482115896
"113","HE_T1","~~","CO_T1","",0.30662455232803,0.0699980443053016,4.380473131373,0.000011842189480582,0.1694309065014,0.44381819815466,0.30662455232803,0.30662455232803
"114","HE_T1","~~","HE_T2","",0.475274083035128,0.0890883243579153,5.33486387201199,0.000000095616262685283,0.300664175850592,0.649883990219664,0.475274083035128,0.475274083035128
"115","HE_T1","~~","SH_T2","",0.171107751983983,0.0787401253439328,2.17306933709583,0.0297750991037362,0.016779942171705,0.325435561796261,0.171107751983983,0.171107751983983
"116","HE_T1","~~","CO_T2","",0.0513070583843246,0.073552709205172,0.697554977087328,0.485455546399684,-0.0928536026231601,0.195467719391809,0.0513070583843246,0.0513070583843246
"117","SH_T1","~~","CO_T1","",0.392218811693643,0.0572655414967313,6.84912429782981,0.00000000000743027861460632,0.279980412804866,0.504457210582421,0.392218811693643,0.392218811693643
"118","SH_T1","~~","HE_T2","",0.258996833264811,0.0758593247671677,3.41417266841935,0.000639760167093328,0.110315288829635,0.407678377699987,0.258996833264811,0.258996833264811
"119","SH_T1","~~","SH_T2","",0.550350261009403,0.0586343845500709,9.3861352043259,0,0.435428979035593,0.665271542983214,0.550350261009403,0.550350261009403
"120","SH_T1","~~","CO_T2","",0.265879391808376,0.0633627335975671,4.19614774667147,0.0000271493178141125,0.141690715995138,0.390068067621613,0.265879391808376,0.265879391808376
"121","CO_T1","~~","HE_T2","",0.200204362004772,0.0778384286408847,2.57205040621304,0.0101098171095959,0.0476438452554472,0.352764878754097,0.200204362004772,0.200204362004772
"122","CO_T1","~~","SH_T2","",0.196802789669895,0.072770215280799,2.70444149313686,0.00684193172002456,0.0541757885723028,0.339429790767487,0.196802789669895,0.196802789669895
"123","CO_T1","~~","CO_T2","",0.576040236887321,0.0527984926520864,10.9101644375175,0,0.472557092851229,0.679523380923413,0.576040236887321,0.576040236887321
